lisa_variable,lisa_label,lisa_cluster,count,percentage,indicator,indicator_name,dimension,dimension_name,direction,unit,local_weight,weight,raw_mean,normalized_mean,shortboard_strength
lisa_change_rate_2010_2024_cluster,2010-2024变化率LISA,HH 高值集聚,4648,15.411140583554378,slope,D4.1 地形坡度,D4,D4 环境约束,negative,度,0.2482879503227113,0.0620719875806778,2.933009283585881,0.7443103894824925,0.0634846493142043
lisa_change_rate_2010_2024_cluster,2010-2024变化率LISA,HH 高值集聚,4648,15.411140583554378,climate_water_stress,D4.2 气候水分亏缺,D4,D4 环境约束,negative,mm,0.2904988745765502,0.0726247186441375,220.5696925708223,0.6694344980430926,0.096028906292314
lisa_change_rate_2010_2024_cluster,2010-2024变化率LISA,HH 高值集聚,4648,15.411140583554378,cold_stress,D4.3 低温冷胁迫,D4,D4 环境约束,negative,℃·月,0.4612131751007384,0.1153032937751846,94.12361416677189,0.663114635558072,0.155375968579231
lisa_change_rate_2010_2024_cluster,2010-2024变化率LISA,LL 低值集聚,4479,14.850795755968168,pop_density,D1.1 人口密度,D1,D1 人类活动,positive,人/km2,0.4433821447143179,0.1108455361785794,1.5817096925052383,0.00261250962127331,0.44222380459535093
lisa_change_rate_2010_2024_cluster,2010-2024变化率LISA,LL 低值集聚,4479,14.850795755968168,nightlight,D1.2 夜间灯光强度,D1,D1 人类活动,positive,nW/cm2/sr,0.1170714006953689,0.0292678501738422,0.5716118524318882,0.23064395629747245,0.09006958966970234
lisa_change_rate_2010_2024_cluster,2010-2024变化率LISA,LL 低值集聚,4479,14.850795755968168,cropland_ratio,D1.3 耕地/农田比例,D1,D1 人类活动,positive,比例(0-1),0.4395464545903131,0.1098866136475782,0.0016929001969911805,0.0016929001969911805,0.4388023463107504
lisa_change_rate_2010_2024_cluster,2010-2024变化率LISA,LL 低值集聚,4479,14.850795755968168,dist_port,D2.1 距边境口岸距离,D2,D2 通达性,negative,km,0.3208624504718436,0.0802156126179609,401.09892636112147,0.7368286236147399,0.08444181272102243
lisa_change_rate_2010_2024_cluster,2010-2024变化率LISA,LL 低值集聚,4479,14.850795755968168,dist_city,D2.2 距最近城市/城镇节点距离,D2,D2 通达性,negative,km,0.3930416506974807,0.0982604126743701,270.2268076341854,0.5752351437055817,0.16695028027623635
lisa_change_rate_2010_2024_cluster,2010-2024变化率LISA,LL 低值集聚,4479,14.850795755968168,dist_major_road,D2.3 距主要道路距离,D2,D2 通达性,negative,km,0.2860958988306757,0.0715239747076689,169.77420630004588,0.6928653674403279,0.08786995876418871
lisa_change_rate_2010_2024_cluster,2010-2024变化率LISA,LL 低值集聚,4479,14.850795755968168,ndvi,D3.1 NDVI,D3,D3 生态状态,positive,无量纲,0.0637545677133387,0.0159386419283346,0.7238415131134549,0.749757859105836,0.015954079516367823
